,Population,City Population,GDP,Industrty Added Value,Agriculture Added Value,Fossil Fuel Percentage,New Energy Production,Energy per GDP,Forest Area,Farmland Area
1990,52.80062644,21.93064687,20.07947154,,,60.21418179,,,41.30729508,
1991,53.68139818,22.63159301,21.64571063,,,60.66567332,,6.087141857,41.21731684,
1992,54.52576967,23.33253916,23.27141543,,,61.10080834,2.471049125,6.17889355,41.13177006,
1993,55.37885402,24.03348531,24.95658594,,,61.51958687,2.023266073,6.270645243,41.05043651,
1994,56.22085293,24.73443146,26.70122215,,,61.92200889,1.666979608,6.362396936,40.97310867,
1995,57.06753581,25.43537761,28.50532408,,,62.30807441,1.402189731,6.454148629,40.89958926,
1996,57.89655178,26.13632376,30.36889171,,,62.67778342,1.228896442,6.545900322,40.82969072,
1997,58.72284397,26.83726991,32.29192505,7.846435187,,63.03113594,1.14709974,6.637652015,40.76323472,
1998,59.5400434,27.53821606,34.27442409,8.318840931,,63.36813195,1.156799626,6.729403708,40.7000517,
1999,60.34484369,28.23916221,36.31638885,8.846069213,,63.68877146,1.2579961,6.821155401,40.63998048,
2000,61.14324044,28.94010835,38.41781931,9.428120031,1.026890617,63.99305446,1.450689161,6.912907093,40.58286779,48.78894385
2001,61.93663732,29.6410545,40.57871548,10.06499339,1.126343269,64.28098097,1.734878811,7.004658786,40.52856793,48.65009332
2002,62.72724236,30.34200065,42.79907736,10.75668928,1.237251428,64.55255097,2.110565048,7.096410479,40.47694236,48.52177369
2003,63.51855732,31.0429468,45.07890495,11.50320771,1.359615095,64.80776447,2.577747872,7.188162172,40.42785937,48.40318626
2004,64.31527221,31.74389295,47.41819824,12.30454867,1.493434269,65.04662146,3.136427285,7.279913865,40.38119375,48.29359291
2005,65.11724848,32.4448391,49.81695724,13.16071217,1.638708952,65.26912195,3.786603285,7.371665558,40.33682643,48.1923115
2006,65.92711655,33.14578525,52.27518196,14.07169821,1.795439142,65.47526595,4.528275872,7.463417251,40.29464422,48.09871162
2007,66.74181848,33.8467314,54.79287237,15.03750679,1.96362484,65.66505343,5.361445048,7.555168944,40.2545395,48.01221068
2008,67.57000414,34.54767754,57.3700285,16.0581379,2.143266046,65.83848442,6.286110811,7.646920637,40.21640996,47.93227027
2009,68.39553692,35.24862369,60.00665034,17.13359155,2.334362759,65.9955589,7.302273162,7.73867233,40.18015831,47.85839282
2010,69.21854591,35.94956984,62.70273788,18.26386774,2.53691498,66.13627688,8.4099321,7.830424022,40.14569208,47.79011848
2011,70.0376044,36.65051599,65.45829113,19.44896646,2.75092271,66.26063836,9.609087627,7.922175715,40.11292333,47.72702231
2012,70.89254548,37.35146214,68.27331009,20.68888772,2.976385946,66.36864333,10.89973974,8.013927408,40.08176845,47.66871157
2013,71.75500378,38.05240829,71.14779475,21.98363152,3.213304691,66.4602918,12.28188844,8.105679101,40.05214796,47.61482332
2014,72.61846543,38.75335444,74.08174513,23.33319785,3.461678943,66.53558377,13.75553373,8.197430794,40.0239863,47.56502213
2015,73.47679005,39.45430059,77.07516121,24.73758672,3.721508704,66.59451924,15.32067561,8.289182487,39.99721161,47.51899804
2016,74.33650819,40.15524674,80.128043,26.19679813,3.992793971,66.6370982,16.97731407,8.38093418,39.97175559,47.47646458
2017,75.19371102,40.85619288,83.2403905,27.71083207,4.275534747,66.66332067,18.72544913,8.472685873,39.94755329,47.437157
2018,76.02716232,41.55713903,86.41220371,29.27968855,4.569731031,66.67318662,20.56508077,8.564437566,39.92454296,47.40083064
2019,76.83806444,42.25808518,89.64348262,30.90336757,4.875382822,66.66669608,22.49620899,8.656189259,39.9026659,47.3672594
2020,77.63932702,42.95903133,92.93422724,32.58186912,5.192490121,66.64384903,24.51883381,8.747940951,39.8818663,47.33623432
2021,78.36,43.65997748,96.28443758,34.31519322,5.521052928,66.60464549,26.63295521,8.839692644,39.86209109,47.30756229
2022,79.12,44.36092363,99.69411361,36.10333984,5.861071242,66.54908543,28.8385732,8.931444337,39.84328981,47.28106484
2023,79.88,45.06186978,103.1632554,37.94630901,6.212545065,66.47716888,31.13568778,9.02319603,39.82541451,47.25657705
2024,80.64,45.76281593,106.6918628,39.84410071,6.575474395,66.38889582,33.52429895,9.114947723,39.80841957,47.2339465
2025,81.4,46.46376208,110.279936,41.79671495,6.949859233,66.28426626,36.0044067,9.206699416,39.79226165,47.21303233
2026,82.12,47.16470822,113.9274748,43.80415172,7.335699578,66.1632802,38.57601105,9.298451109,39.77689951,47.19370436
2027,82.84,47.86565437,117.6344794,45.86641104,7.732995432,66.02593764,41.23911198,9.390202802,39.76229396,47.17584229
2028,83.56,48.56660052,121.4009497,47.98349288,8.141746793,65.87223857,43.99370949,9.481954495,39.74840774,47.15933494
2029,84.28,49.26754667,125.2268857,50.15539727,8.561953662,65.702183,46.8398036,9.573706187,39.73520542,47.14407957
2030,85,49.96849282,129.1122874,52.38212419,8.993616039,65.51577093,49.77739429,9.66545788,39.72265332,47.12998122
2031,85.68,50.66943897,133.0571548,54.66367365,9.436733923,65.31300235,52.80648157,9.757209573,39.71071943,47.11695213
2032,86.36,51.37038512,137.0614879,57.00004565,9.891307315,65.09387727,55.92706544,9.848961266,39.69937328,47.10491121
2033,87.04,52.07133127,141.1252868,59.39124018,10.35733622,64.85839569,59.1391459,9.940712959,39.68858593,47.09378352
2034,87.72,52.77227742,145.2485513,61.83725725,10.83482062,64.60655761,62.44272294,10.03246465,39.67832987,47.08349979
2035,88.4,53.47322356,149.4312815,64.33809686,11.32376054,64.33836302,65.83779657,10.12421634,39.66857892,47.07399602
2036,89.04,54.17416971,153.6734775,66.893759,11.82415596,64.05381194,69.32436679,10.21596804,39.65930821,47.06521304
2037,89.68,54.87511586,157.9751392,69.50424368,12.33600689,63.75290435,72.9024336,10.30771973,39.65049408,47.0570962
2038,90.32,55.57606201,162.3362665,72.1695509,12.85931333,63.43564025,76.57199699,10.39947142,39.64211406,47.04959496
2039,90.96,56.27700816,166.7568596,74.88968065,13.39407528,63.10201966,80.33305697,10.49122312,39.63414676,47.04266265
2040,91.6,56.97795431,171.2369184,77.66463294,13.94029273,62.75204256,84.18561354,10.58297481,39.62657185,47.0362561
2041,92.18,57.67890046,175.7764429,80.49440777,14.4979657,62.38570896,88.1296667,10.6747265,39.61937001,47.03033545
2042,92.76,58.37984661,180.3754331,83.37900513,15.06709417,62.00301885,92.16521645,10.7664782,39.61252286,47.02486385
2043,93.34,59.08079276,185.033889,86.31842503,15.64767814,61.60397224,96.29226278,10.85822989,39.60601294,47.01980722
2044,93.92,59.7817389,189.7518106,89.31266747,16.23971763,61.18856914,100.5108057,10.94998158,39.59982363,47.01513411
