,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Model 1,371.4994486,373.0824107,374.7071451,376.3751015,378.0888607,379.8470065,381.6505808,383.4958803,385.3892491,387.3160249,389.2754572,391.26554,393.3194307,395.412327,397.5380695,399.6908659,401.8757487,404.0889112,406.3118447,408.5451647,410.7994794,413.0140859,415.2906831,417.595524,419.9283414,422.2888898,424.6429147,427.0242381,429.4326697,431.868035,434.3301739,436.7849107,439.2661394,441.7737364,444.3075886,446.867592,449.4196229,451.997623,454.6015124,457.2312184,459.8866741,462.5167753,465.1725095,467.8538257,470.5606774,473.293022,476.0338065,478.8000098,481.5915999,484.4085474,487.2508255,490.0503526,492.8751641,495.7252399,498.6005619,501.5011136,504.375837,507.2757617,510.2008755,513.1511675,516.1266276,519.1102325,522.1189887,525.1528889,528.2119266,531.2960961,534.354349,537.437724,540.5462169,543.6798242,546.8385426,549.9883405,553.1632444,556.3632521,559.5883617,562.8385716,566.0968661,569.3802584,572.6887475,576.0223327,579.3810133,582.7137456,586.0715724,589.4544934,592.8625085,596.2956175,599.7538204,603.2371172,606.7455081,610.2789931,613.8375725,617.3702034,620.9279291,624.51075,628.1186663,631.7516784,635.3927722,639.0589625,642.7502497,646.4666341,650.2081161
Model 2,370.1519285,372.469394,374.8312919,377.1852999,379.500383,381.7603784,383.9582335,386.0920647,388.1627518,390.1725505,392.1243185,394.0210949,395.8658795,397.6615232,399.4106804,401.1157939,402.7790979,404.4026295,405.9882434,407.5376291,409.0523259,410.5337383,411.98315,413.4017353,414.7905708,416.1506446,417.4828651,418.7880682,420.0670239,421.3204423,422.5489787,423.7532377,424.9337775,426.0911134,427.2257206,428.338037,429.4284657,430.4973771,431.5451105,432.5719759,433.5782555,434.5642047,435.5300532,436.476006,437.4022442,438.3089255,439.1961846,440.0641337,440.9128629,441.7424401,442.5529111,443.3442994,444.1166065,444.8698109,445.603868,446.3187099,447.014244,447.6903528,448.3468926,448.9836924,449.600553,450.1972449,450.7735069,451.3290445,451.8635272,452.3765861,452.8678116,453.3367496,453.7828983,454.2057039,454.6045563,454.9787834,455.3276456,455.6503285,455.9459355,456.2134785,456.4518673,456.6598983,456.8362398,456.9794161,457.0877884,457.1595318,457.1926096,457.1847404,457.133361,457.0355798,456.888121,456.6872563,456.4287198,456.1076025,455.7182185,455.2539348,454.7069507,454.0680097,453.3260142,452.4675044,451.475937,450.3306633,449.0054437,447.466219,445.6676393
Model 3,377.2591303183274, 378.6236777122334, 380.045028318033, 381.5222175083252, 383.05428003378563, 384.64025002316646, 386.2791609832965, 387.9700457990809, 389.71193673350143, 391.5038654276164, 393.3448629005607, 395.23395954954566, 397.1701851498592, 399.15256885486576, 401.1801391960063, 403.25192408279827, 405.36695080283573, 407.5242460217893, 409.722835783406, 411.9617455095095, 414.24, 416.5566234329518, 418.9106393650682, 421.3010707361866, 423.72693987512605, 426.18726849905335, 428.68107772413674, 431.2073880766849, 433.76521949321227, 436.354564014675, 439.0014127654857, 441.70644282206825, 444.413101563031, 447.0135929777064, 449.34887766615105, 451.28862884958795, 453.02328037817534, 454.5626749745959, 455.8954035532735, 457.0221531698858, 457.95570702136405, 458.72094444589317, 459.34877703016565, 459.853013263319, 460.25440158459304, 460.5727699120769, 460.82685051828264, 461.0373604656409, 461.2046665896178, 461.3310257755557, 461.4245449977755, 461.49918131957645, 461.57109699508646, 461.63487241568606, 461.68737885555123, 461.72891202156904, 461.76150426478483, 461.7889245804021, 461.83341475642777, 461.93590125018835, 462.057038295958, 462.16078036429553, 462.22126443068106, 462.22280997551593, 462.1599189841228, 462.03727594674547, 461.86974785854903, 461.68238421961996, 461.51041703496577, 461.39926081451534, 461.4045125731188, 461.5014192383595, 461.5658420644708, 461.6018015065589, 461.61663164491875, 461.61754579194286, 461.606715887697, 461.5855536427375, 461.55597447841313, 461.526310220988, 461.5596816648173, 461.6322266101368, 461.7015130822626, 461.7351993047134, 461.7110336992103, 461.61685488567707, 461.45059168224003, 461.2202631052281, 460.9439783691727, 460.64993688680784, 460.37642826907006, 460.17183232509853, 460.094619062235, 460.13764104369835, 460.1619384567612, 460.1527896171336, 460.1064666974946, 460.0249521165442, 459.91593853900287, 459.79282887561175, 459.67473628313275
